Beach Device,Activity,Sed lacinia maximus lacinia,183,7,1
First Aid Equipment,Health,"Nullam viverra elit lectus, ac pellentesque lorem porttitor vulputate",188.95,9,2
Makeup Equipment,Beauty,Pellentesque ornare ipsum sed bibendum mollis,109.99,9,3
Skin Care Widget,Beauty,"Duis felis nulla, bibendum sit amet elementum vitae, vestibulum in justo",45.99,9,4
Outdoors Whatchamacallit,Activity,Vestibulum blandit mi quis leo euismod faucibus,164.99,8,5
Kitchen Gear,Home,In hendrerit dignissim ornare,185.95,1,6
Personal Gadget,Beauty,"Praesent mattis, turpis et blandit sollicitudin, arcu nisl efficitur est, at imperdiet ante magna sit amet metus",126.95,1,7
Camping Equipment,Activity,Aliquam volutpat arcu id justo fringilla posuere,158.99,3,8
Home Improvement Paraphernalia,Home,"Sed sollicitudin, sem non efficitur dictum, dui sapien sagittis neque, a rutrum turpis est eget neque",22.99,0,9
Biking Attachment,Activity,"Donec dictum, tellus vitae fermentum egestas, erat leo tristique orci, ut aliquet lectus massa sed mauris",128,5,10
Outdoors Doodad,Activity,Maecenas ut lorem quis mi tempor finibus at sit amet dolor,169.99,0,11
Music Kit,Entertainment,Aliquam imperdiet bibendum nisi vitae condimentum,161,5,12
Gardening Machine,Home,Cras a mauris sed quam feugiat mollis id eu lorem.,127,4,13
Computer Gear,Electronics,"Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",195,4,14
Movie Whatchamacallit,Entertainment,"Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus",67.99,7,15
Phone Equipment,Electronics,Praesent dictum ac dui a efficitur,145,5,16
Medicine Instrument,Health,"Cras pulvinar ipsum vulputate, hendrerit quam ut, ullamcorper lectus.",122.95,7,17
Camera Kit,Electronics,"Donec tempor lorem ipsum, sed imperdiet sem rhoncus vel",36.95,6,18
Truck Equipment,Automotive,In ac posuere nunc,177.95,9,19
Baby Equipment,Clothing,Integer convallis turpis vitae condimentum tincidunt,138.99,7,20
Technology Gizmo,Electronics,"In ultrices tempus nibh, rutrum dictum quam faucibus quis",130,9,21
